epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1942.9,1.11654,0.55566,0.90395,0.90512,0.86132,0.92551,0.60941,1.08815,0.51801,0.90877,0.000450682,0.000450682,0.000450682
109,1960.59,1.10042,0.55178,0.90238,0.90109,0.86289,0.92419,0.61195,1.09033,0.52243,0.91045,0.00044296,0.00044296,0.00044296
110,1978.09,1.12439,0.56127,0.90298,0.88981,0.88313,0.92996,0.61085,1.09128,0.52202,0.90875,0.000435254,0.000435254,0.000435254
111,1995.27,1.10852,0.55113,0.89785,0.89815,0.87131,0.92759,0.61145,1.08142,0.51555,0.90574,0.000427565,0.000427565,0.000427565
112,2012.82,1.10679,0.55273,0.90003,0.8991,0.87223,0.92912,0.61033,1.08745,0.52147,0.90865,0.000419895,0.000419895,0.000419895
113,2030.13,1.09624,0.54905,0.90093,0.89906,0.87399,0.92685,0.61318,1.08569,0.51795,0.90636,0.000412246,0.000412246,0.000412246
114,2047.58,1.10203,0.55066,0.89866,0.90641,0.85894,0.92846,0.6106,1.08833,0.51905,0.90924,0.00040462,0.00040462,0.00040462
115,2067.45,1.10002,0.54533,0.90033,0.89091,0.877,0.92747,0.61211,1.08473,0.51629,0.90799,0.000397019,0.000397019,0.000397019
116,2090.31,1.10004,0.54859,0.89822,0.88929,0.87857,0.92735,0.61444,1.0798,0.51723,0.90543,0.000389445,0.000389445,0.000389445
117,2109.04,1.09704,0.54568,0.89855,0.90258,0.86576,0.92639,0.61291,1.07894,0.51873,0.90702,0.000381899,0.000381899,0.000381899
118,2128.52,1.09853,0.54338,0.89702,0.89679,0.87155,0.9229,0.61182,1.08099,0.51489,0.90655,0.000374383,0.000374383,0.000374383
119,2148.23,1.10657,0.54972,0.90191,0.8904,0.87564,0.92271,0.60742,1.08183,0.52054,0.90761,0.000366899,0.000366899,0.000366899
120,2166.62,1.09938,0.54683,0.89744,0.8919,0.87359,0.92563,0.61244,1.08585,0.51837,0.90784,0.00035945,0.00035945,0.00035945
121,2183.86,1.08543,0.53865,0.89476,0.90274,0.86968,0.92654,0.61474,1.07982,0.51443,0.90714,0.000352037,0.000352037,0.000352037
122,2200.97,1.07517,0.53132,0.89338,0.89529,0.87257,0.92576,0.61627,1.07339,0.51298,0.90617,0.000344661,0.000344661,0.000344661
123,2218.95,1.09916,0.54493,0.89687,0.89412,0.87053,0.92552,0.61028,1.07903,0.51885,0.90722,0.000337325,0.000337325,0.000337325
124,2236.7,1.09402,0.53922,0.90118,0.89898,0.87121,0.92422,0.61337,1.07864,0.51558,0.90764,0.00033003,0.00033003,0.00033003
125,2254.08,1.08274,0.53158,0.89513,0.89917,0.87087,0.92769,0.61058,1.08751,0.51524,0.9076,0.000322778,0.000322778,0.000322778
126,2271.36,1.08421,0.53437,0.89546,0.90098,0.87118,0.92858,0.61333,1.08596,0.51088,0.90931,0.000315572,0.000315572,0.000315572
127,2288.69,1.07418,0.5312,0.89442,0.89992,0.87121,0.92714,0.61523,1.08242,0.51246,0.90565,0.000308412,0.000308412,0.000308412
128,2306.07,1.08692,0.53234,0.89494,0.89693,0.87172,0.92509,0.6112,1.08681,0.5143,0.90908,0.0003013,0.0003013,0.0003013
129,2323.29,1.08574,0.53946,0.90171,0.8966,0.87836,0.92742,0.61362,1.08165,0.51419,0.90922,0.000294239,0.000294239,0.000294239
130,2340.13,1.0781,0.53211,0.89597,0.89227,0.87496,0.9215,0.61176,1.08854,0.51568,0.91241,0.00028723,0.00028723,0.00028723
131,2357.3,1.09187,0.54023,0.89617,0.90155,0.87361,0.92882,0.6144,1.08566,0.50937,0.90982,0.000280275,0.000280275,0.000280275
132,2374.69,1.06563,0.52465,0.89051,0.90359,0.8644,0.92577,0.61188,1.08478,0.51398,0.90912,0.000273375,0.000273375,0.000273375
133,2391.63,1.07938,0.53105,0.89474,0.89924,0.86814,0.92491,0.61146,1.08515,0.51298,0.91108,0.000266532,0.000266532,0.000266532
134,2409.3,1.0668,0.52569,0.89248,0.90339,0.86973,0.9262,0.61327,1.08405,0.51418,0.90987,0.000259748,0.000259748,0.000259748
135,2426.08,1.08139,0.53192,0.89892,0.90053,0.87462,0.92725,0.61233,1.08842,0.51102,0.90921,0.000253024,0.000253024,0.000253024
136,2443.72,1.07237,0.53588,0.89528,0.89715,0.87377,0.92853,0.61351,1.07922,0.51263,0.90809,0.000246363,0.000246363,0.000246363
137,2462.15,1.07623,0.52859,0.88941,0.89774,0.87043,0.92463,0.61355,1.07816,0.50939,0.90583,0.000239766,0.000239766,0.000239766
138,2479.8,1.07279,0.52815,0.89426,0.90424,0.86337,0.92593,0.61334,1.08222,0.51102,0.90916,0.000233234,0.000233234,0.000233234
139,2497.75,1.05633,0.52277,0.89217,0.90639,0.86435,0.92543,0.61061,1.0811,0.51148,0.90756,0.000226769,0.000226769,0.000226769
140,2518.12,1.07116,0.52668,0.89065,0.89806,0.87349,0.92614,0.61369,1.07905,0.5083,0.90745,0.000220372,0.000220372,0.000220372
